Platforms,Type
PlayStation,Console
PlayStation 3,Console
Nintendo 3DS,Hand-held Console
PSP,Hand-held Console
Game Boy Color,Hand-held Console
Atari 2600,Console
SNES,Console
SEGA Master System,Console
Game Boy,Hand-held Console
GameCube,Console
PlayStation 2,Console
Web,Web
Xbox 360,Console
Linux,Computer
PS Vita,Hand-held Console
Xbox,Console
Game Gear,Hand-held Console
Wii U,Console
Commodore / Amiga,Computer
Xbox Series S/X,Console
Xbox One,Console
Genesis,Console
macOS,Computer
NES,Console
Game Boy Advance,Hand-held Console
Dreamcast,Console
Android,Mobile
PlayStation 4,Console
Nintendo DS,Hand-held Console
Nintendo 64,Console
Wii,Console
Jaguar,Console
Nintendo Switch,Hand-held Console
PC,Computer
PlayStation 5,Console
SEGA Saturn,Console
iOS,Mobile
Neo Geo,Console
Classic Macintosh,Computer
Other,Other
